New Repo Check

Env. variable "spring.datasource.url=${JDBC_DATABASE_URL}" in file "\main\resources\application.properties"
Env. variable "spring.datasource.username=${JDBC_USERNAME}" in file "\main\resources\application.properties"
Env. variable "spring.datasource.password=${JDBC_PASSWORD}" in file "\main\resources\application.properties"
Env. variable "app.secret-key=${TOKEN_SECRET}" in file "\main\resources\application.properties"
Annotation "@Column" in file "\main\java\dk\kea\quickbook\entity\Hotel.java"
Annotation "@Column" in file "\main\java\dk\kea\quickbook\entity\Hotel.java"
Annotation "@Column" in file "\main\java\dk\kea\quickbook\entity\Hotel.java"
Annotation "@Column" in file "\main\java\dk\kea\quickbook\entity\Hotel.java"
Annotation "@Setter" in file "\main\java\dk\kea\quickbook\entity\Room.java"
Annotation "@Service" in file "\main\java\dk\kea\quickbook\service\HotelService.java"
Annotation "@NoArgsConstructor" in file "\main\java\dk\kea\quickbook\entity\Room.java"
Annotation "@Entity" in file "\main\java\dk\kea\quickbook\entity\Room.java"
Annotation "@Getter" in file "\main\java\dk\kea\quickbook\entity\Room.java"
Annotation "@GeneratedValue" in file "\main\java\dk\kea\quickbook\entity\Room.java"
Annotation "@Id" in file "\main\java\dk\kea\quickbook\entity\Room.java"
Annotation "@Column" in file "\main\java\dk\kea\quickbook\entity\Room.java"
Annotation "@OneToMany" in file "\main\java\dk\kea\quickbook\entity\Hotel.java"
Annotation "@OneToMany" in file "\main\java\dk\kea\quickbook\entity\Room.java"
Annotation "@ManyToOne" in file "\main\java\dk\kea\quickbook\entity\Room.java"
Annotation "@Column" in file "\main\java\dk\kea\quickbook\entity\Room.java"
Annotation "@Column" in file "\main\java\dk\kea\quickbook\entity\Room.java"
Annotation "@JoinColumn" in file "\main\java\dk\kea\quickbook\entity\Room.java"
Annotation "@Setter" in file "\main\java\dk\kea\quickbook\entity\Reservation.java"
Annotation "@Getter" in file "\main\java\dk\kea\quickbook\entity\Reservation.java"
Annotation "@NoArgsConstructor" in file "\main\java\dk\kea\quickbook\entity\Reservation.java"
Annotation "@Entity" in file "\main\java\dk\kea\quickbook\entity\Reservation.java"
Annotation "@JsonFormat" in file "\main\java\dk\kea\quickbook\entity\Reservation.java"
Annotation "@ManyToOne" in file "\main\java\dk\kea\quickbook\entity\Reservation.java"
Annotation "@Id" in file "\main\java\dk\kea\quickbook\entity\Reservation.java"
Annotation "@JoinColumn" in file "\main\java\dk\kea\quickbook\entity\Reservation.java"
Annotation "@GeneratedValue" in file "\main\java\dk\kea\quickbook\entity\Reservation.java"
Annotation "@RestController" in file "\main\java\dk\kea\security\api\AuthenticationController.java"
Annotation "@RequestMapping" in file "\main\java\dk\kea\security\api\AuthenticationController.java"
Annotation "@CrossOrigin" in file "\main\java\dk\kea\security\api\AuthenticationController.java"
Annotation "@Value" in file "\main\java\dk\kea\security\api\AuthenticationController.java"
Annotation "@ManyToOne" in file "\main\java\dk\kea\quickbook\entity\Reservation.java"
Annotation "@JoinColumn" in file "\main\java\dk\kea\quickbook\entity\Reservation.java"
Annotation "@Value" in file "\main\java\dk\kea\security\api\AuthenticationController.java"
Annotation "@RequestBody" in file "\main\java\dk\kea\security\api\AuthenticationController.java"
Annotation "@PostMapping" in file "\main\java\dk\kea\security\api\AuthenticationController.java"
Annotation "@RestController" in file "\main\java\dk\kea\security\api\UserWithRoleController.java"
Annotation "@RequestBody" in file "\main\java\dk\kea\security\api\UserWithRoleController.java"
Annotation "@PreAuthorize" in file "\main\java\dk\kea\security\api\UserWithRoleController.java"
Annotation "@RequestMapping" in file "\main\java\dk\kea\security\api\UserWithRoleController.java"
Annotation "@PatchMapping" in file "\main\java\dk\kea\security\api\UserWithRoleController.java"
Annotation "@PostMapping" in file "\main\java\dk\kea\security\api\UserWithRoleController.java"
Annotation "@PathVariable" in file "\main\java\dk\kea\security\api\UserWithRoleController.java"
Annotation "@PreAuthorize" in file "\main\java\dk\kea\security\api\UserWithRoleController.java"
Annotation "@PathVariable" in file "\main\java\dk\kea\security\api\UserWithRoleController.java"
Annotation "@PathVariable" in file "\main\java\dk\kea\security\api\UserWithRoleController.java"
Annotation "@PatchMapping" in file "\main\java\dk\kea\security\api\UserWithRoleController.java"
Annotation "@Getter" in file "\main\java\dk\kea\security\dto\LoginRequest.java"
